text,source
Pressured to work even when going as fast as possible. Freezer is actual torture and they make people work in there for hours.,Breakroom Global
The community as everyone is there for each other and we can have a laugh during the shift,Breakroom Global
"If u take more than 3 sick days off during 6 months they issue a warning letter. If u are going to be sick even one more time after a warning letter u are moved onto a second warning letter (even if u have a sick note from your GP. The 6 month period restarts and if u are sick once again, you are fired. No compassion at Amazon. You are just a number",Breakroom Global
Not enough respectGet treated poorlyNo help when neededDifficult to take time off when needed for family reasonNo paid sick pay / maternity,Breakroom Global
"good money , 40 hours a week /4 days instead of 8 hours /5 days . Easy overall if u dont show them that you're active they'll give u easy jobs . Just make sure u re not hard working.",Breakroom Global
"Easy jobs and big diverse group of people to work with, also good pay compared to many places.",Breakroom Global
"The hoursSenior leadership do not care about you, your job, your well-being, your team or anything other than good metrics",Breakroom Global
Being able to do my job properly and have a laugh/ chat with other workers,Breakroom Global
The amount of physical activity is needed for a long shift. Also breaks are quite short,Breakroom Global
"The worst thing at amazon is the policies and management and HR are awful, unskilled people and rude.",Breakroom Global
"only 10£ an hour, people who doesn't try to understand I'm going there to work, not to socialize. Some colleagues are annoying.",Breakroom Global
The working environment and all different people you get to meet and people you make friends with and working as a team to get the job done,Breakroom Global
Too many supervisors and managers on the same shift. No commication sometimes,Breakroom Global
No time for breaksOnly finish work when the workload is complete. No set time to finish,Breakroom Global
The work load is too much and the pressure it way too much. The people are very impolite and horrible,Breakroom Global
not enough hours/ moneyboring /repetitive workuncertainty of contract length,Breakroom Global
"2 trainers from my team, and my job which was teaching and teach people how to drive a variety of MHE.",Breakroom Global
Management wise was terrible. Nobody helps in any way. Nobody cares about rules and people are seen as numbers. My schedule which was changed in the last minute and sometimes I had to come at work in less than 20 minutes. People getting promoted just because they know someone or they’re agreeing with the management even if it’s wrong.,Breakroom Global
Fixed hours/shift pattern. 3 days off a week. 7 weeks holiday,Breakroom Global
"Stressful, you watch the managment squeeze and squeeze to see how many people they can tell to go home for a shift then complain they lack the staff, Issues are brought up but never acknowledged or even mentioned again and are given the Mystical “We’re working on it” title. You come in to work, talk a but to colleagues, eat at the break. And go home",Breakroom Global
"Very flexible with hours, holidays and the pay is good when overtime is available.",Breakroom Global
"Management are rude and don't support you. Payments have been missed and took far too long to be paid what was owed. Sexual harassment is a known problem, which is mostly from managers/leads.",Breakroom Global
"ManagementDoing the work of 3 peopleRidiculously high targets to hitNo accommodations for peopleDisciplinary actions for minor thingsHR utterly sucksPeople not pulling their weightPenalised for coming back from break 1 minute late3 minute walking time for a ten minute round trip to canteen for food, eats into well earned break time",Breakroom Global
"Treated badly by management and graduate managers, low pay, low job security",Breakroom Global
40hours fixed and they won’t send you home if they don’t have work,Breakroom Global
"Staff are overworked, Pay is basic, Managers and Supervisors treat workers with no respect.",Breakroom Global
"Time pressuresExtreme micro managementLong hour days, (10hr shifts)",Breakroom Global
I work nights. Sometimes it is lonely. Some of shift workers not too friendly.,Breakroom Global
"Its a work place hell. No one to talk to for 12 hours. Stood alone, with a robot. Very depressing. Wouldn't recommend if your already depressed. Supervisors treat you like dirt",Breakroom Global
Decent money for what is essentially the easiest job ever.Decent Benefits.,Breakroom Global
"It's very repetitive and standing/walking all day can be tiring.Long Shifts.Very isolated, can't talk to people for a long time. Working alone.The work is not difficult but this does make it mind numbingly boring when doing a 10 hour shift.Managers can be bad/annoying. They nit pick, angry for small reasons, don't respond to issues well, don't follow through on things they say they will do. Depends on where you are though I guess.Boring.",Breakroom Global
Free stuff oftenActivities oftenIn my warehouse we have 2 free slushie machine as well as our free coffee/hot chocolate machines,Breakroom Global
"Easy job, get to exercise, I have made lots of friends and good pay",Breakroom Global
"The people that worked with me were great , but supervision was terrible ,",Breakroom Global
That I don’t get paid outside my 9 hour shift usually 3/4 hours not paid,Breakroom Global
U do your work and the moment the clock strikes shift time ends u drop everything and leave. People are amazing and helping.,Breakroom Global
"The shifts all start in the afternoon, making school runs impossible",Breakroom Global
Variety of options of work. Could be doing something different everyday at work. The pay is good. Average hours. Overtime is payed generously with time and a half and double time. Suitable shifts,Breakroom Global
We are not fully equipped means if some customers told Amazon that they not received the parcel then we have no evidence to prove like DPD. We have no choice except to deliver all parcel even our agreed time finished and they don’t give us extra money for that work. This the worst thing we think that we are slave,Breakroom Global
No life/work balanceLong hoursManager/TL limit testing you disregarding your physical abilities,Breakroom Global
"Pay, secure shift pattern, always paid on time, management respects you and is friendly, down to earth, you can easily see your holiday accruals, the deadline for taking them out and how much you will be paid per holiday",Breakroom Global
Work-Life Balance. “I love that I have a great degree of control and freedom within my job.,Breakroom Global
Pay is competitive. If you can get a good role such a process guide or problem solver it can be good.,Breakroom Global
"Poor, inexperienced management. When it is busy it can get really busy and you are expected to meet sometimes unachievable targets with little to no support.If you are on a direct process path it can get really demoralising packing over 1000 boxes a day unable to make much communication whilst working.",Breakroom Global
Is amazing work by sorting out parcels in a busiers company like amazon,Breakroom Global
When your colleagues working beside you cannot pick up his or her numbers or parcels and they all comes to u,Breakroom Global
"Lack of training opportunities, lack of career progression, repetitive work, unrealistic targets.",Breakroom Global
You will grow up day by day. That is why I continue to stay in Amazon.,Breakroom Global
"Sometimes you feel really tired after work, we must keep our body well, eat well. Feeling unhappy when the manager keep on telling you that you can’t hit the rate.",Breakroom Global
The people I work with. Associates are from all over the world and I say hello to someone new everyday.,Breakroom Global
Work ConditionsBreaksConstant expected work ratesManagementTo name but a few,Breakroom Global
When you working 8& 10 hours shift you should get more breaks,Breakroom Global
