text,satisfaction,job_level,date,platform,source
"A Mixed Experience at Amazon: A Tale of Leadership Shifts

Amazon under certain leaderships, was undoubtedly one of the best places I've worked in and will forever be grateful for the learning and knowledge I have gained. However, my enthusiasm was tempered by the swift change in senior leadership. With this shift, the work environment underwent a significant transformation, and unfortunately, not for the better.

After the change, professional growth has became an uphill battle, particularly for women aspiring to secure leadership positions. This atmosphere has hindered progress and made it challenging for deserving women to advance within the company.",Very unsatisfied,Mid-Level,2023-06-27T14:03:12.146947-04:00,inhersight,amazon
"Amazon has been working toward doing better, but still needs more women in senior leadership roles. They need to further expand the maternity and paternity policy.",Satisfied,Mid-Level,2023-06-27T13:52:44.388295-04:00,inhersight,amazon
Additional steps can be taken to support parents who need assistance for childcare. A subscription to a site to help find a babysitter/nanny is not sufficient.,Satisfied,Mid-Level,2023-06-27T13:23:06.176867-04:00,inhersight,amazon
"I never felt as accepted, encouraged, and supported as I do at Amazon. This is an amazing company to work for and that is why I have made it my goal to complete my career within this space.",Very satisfied,Mid-Level,2023-06-27T13:29:10.350668-04:00,inhersight,amazon
The paternity leave at 6 weeks is a bit too short,Very satisfied,Senior-Level,2023-06-27T13:20:51.463276-04:00,inhersight,amazon
toxic work,Very unsatisfied,Senior-Level,2023-06-20T03:40:02.646510-04:00,inhersight,amazon
Fathers receive 6 weeks fully paid parental leave,Very satisfied,Early Career,2023-05-21T18:39:48.458234-04:00,inhersight,amazon
"A lot of their policies are great on paper, but i really felt like taking my maternity leave hurt my career growth and as the company starts doing layoffs, the work life balance is tipping towards work",Unsatisfied,Mid-Level,2023-04-04T22:00:14.863757-04:00,inhersight,amazon
They were very quick to fire older employees for acquiring negative point when they let the younger employees stack points and write them off.,Very unsatisfied,Early Career,2023-04-02T04:39:17.491696-04:00,inhersight,amazon
I have nothing to add,Neither satisfied nor unsatisfied,Mid-Level,2023-03-01T10:00:54.181664-05:00,inhersight,amazon
"As a new developer  and Intern, I was expecting regular guidance (once a day or every other day, 30min-1 hour sessions) with several parallel programming sessions throughout my 5 month internship.  

Instead, I received a once weekly check-in and sometimes waited for days for my mentor to get back to me when I was stuck, and no parallel programming.  Then the feedback was that I was ""not able to work independently"".  Everyone was really busy so even if they wanted to stop and help, they did not have the bandwidth.  Great smart people, maybe just not the greatest place for a new developer, especially in 2023 where the overall theme is efficiency in tech.",Unsatisfied,Early Career,2023-02-01T16:21:57.135571-05:00,inhersight,amazon
Sexual harassment at the management level was constantly covered up by HR. Unsafe working conditions for associates pushed by upper management lead to consistent on-site injury. Women in management consistently undermined by male counterparts in effort to boost their ratings. Manipulation of female associates reports of unfair treatment in favor of protecting the company image. It's worse than the rumors.,Very unsatisfied,Early Career,2023-01-28T14:52:48.775477-05:00,inhersight,amazon
"Ready to be constantly gaslit by intellectually inferior male colleagues? To work somewhere where the entire set of leadership principles celebrate aggressive, arrogant, masochistic behaviors? Where emotional intelligence and people management skills are never considered when assessing promotions? Go work at Amazon",Unsatisfied,Senior-Level,2023-01-23T13:02:08.302062-05:00,inhersight,amazon
Great working environment if you can get on permanent,Very satisfied,Early Career,2023-01-19T09:05:39.369303-05:00,inhersight,amazon
The company is a great company for someone without a busy lifestyle. The company is strictly about their products numbers rather then the actual well-being of the people they hire.,Unsatisfied,Senior-Level,2023-01-11T18:30:43.206386-05:00,inhersight,amazon
