text,satisfaction,job_level,date,platform,source
"Amazon as a whole might be ok, but avoid the Prime Now part of the business at all costs. Few to no benefits, an abusive culture of keeping everyone part time to avoid paying benefits, and blocking people from advancement are a few practices that feature prominently. The pay is terrible as well. 
The only time I could ever possibly recommend working for that division is if you don't mind being the lowest level employee, only want to make a few dollars on the side, and desire schedule flexibility. If that's your list, they're a decent choice. Otherwise look elsewhere.
For the love of all that is holy DO NOT take any kind of ""seasonal"" position there. They're the worst of the worst. Designed to abuse the employee and give nothing in return.",Very unsatisfied,Early Career,2019-09-18T18:15:42.263381-04:00,inhersight,amazon
"Poor management, over worked, lack of caring about employees. They would rather hire for PA's, AM's and OPS outside of the company and not promoting within.",Neither satisfied nor unsatisfied,Mid-Level,2019-09-10T04:58:13.382243-04:00,inhersight,amazon
"They provide a mother's room, a place for our muslim community to pray and wash their feet. And they provide tampons and pads in all the bathrooms and over the counter painkillers, like ibuprofen and acetaminophen.",Satisfied,Early Career,2019-09-04T22:01:45.402651-04:00,inhersight,amazon
"Great place to make money, always extra time available, that said you get mandatory over time and if you can’t work it you must use your leave. If you’re sick you’re working, you need to pick your child, you’re working, already have voluntary over time, guess what you’re getting mandatory anyways!",Unsatisfied,Early Career,2019-09-04T13:40:58.318710-04:00,inhersight,amazon
N/A,Anonymous,Early Career,2019-09-03T17:54:58.807827-04:00,inhersight,amazon
"There is definitely a benefit to being a confident white male at Amazon - they can get away with murder. I don not recommend working anywhere near operations as they are always optimizing, re-orging and cutting back.",Unsatisfied,Early Career,2019-08-19T00:13:15.992626-04:00,inhersight,amazon
"Amazon is a horrible company. First, they make constant changes but never inform the employees, (perfect example is the pay increase. The media was informed before the employees).

In Amazon, employees are just numbers. Upper management could care less about you since Amazon hires and fires on a rotating basis. 

The insurance is good, the discount is a joke, Besos spends his time NOT taking care of the company. 

Customers are verbally abusive, more than 80% of the managers are newly hired and have no clue what they’re doing, rarely are promotions done within. Amazon hires external before internal, bachelor degrees are required for any job level 3 and higher regardless at the number of years you’ve been with the company.

I do t recommend this place at all. Their are WAY better companies that take care of their employees and don’t bind them in massive amounts of red tape. 

Pay raises are on hold for who knows how long since they increase everyone to $15/hr, stocks and bonuses are gone except stocks at 5, 10, 16, and 20 year marks. 

No flexibility in scheduling, blackout dates (meaning you cannot take vacation and you can’t request it at all no matter how far in advance) from mid November to the 2nd week in January, overtime is mandatory, you have to fight for time off on a holiday. No reimbursement for internet. 

The company is mentally draining and no one follows policy. 

You can no longer email yourself (from company email to personal) so you have records of your conversation with management. 

If you’re let go they immediately lock you out. 

Calls are recorded but they are never used for training. Team managers don’t help and tell you to go elsewhere for assistance. 

You must use your paid time off and unpaid time off for emergencies and sick time m (you don’t get sick time) and they’re systems not update in real time.",Very unsatisfied,Early Career,2019-07-26T04:42:04.815288-04:00,inhersight,amazon
Great place,Very satisfied,Mid-Level,2019-07-21T00:29:31.713285-04:00,inhersight,amazon
It's an amazing place to work. A great atmosphere and benefits are good.,Very satisfied,Early Career,2019-07-05T02:43:36.002313-04:00,inhersight,amazon
Lots of skull duggery all around. Save every email and document everything for when someone tries to throw you under the bus.,Satisfied,Early Career,2019-06-20T18:08:27.745379-04:00,inhersight,amazon
"This company is putting me in the position where I have to choose between continuing my education or keeping my job. They approved half of my school accommodation and I started classes. Now they are saying I did not perform well enough. I may not get approved for the second half and I may have to pay back financial aid. I was in the top three in my department but since I was flagged I recieved a written warning that may keep me out of school. I have been told to loose weight. I have also been told by senior operations management that, "" Amazon might not treat people fair, but unlike Bob's warehouse, Amazon will still be in business tomorrow."" I have been lied to about FMLA and Amazon's policies and I have been cheated out of vacation time. I need a job that is not physically and mentally abusive.",Very unsatisfied,Early Career,2019-05-16T14:13:59.432528-04:00,inhersight,amazon
Working conditions were absolutely dystopian. I got UTIs all the time because they had strict and cruel restrictions on bathroom breaks.,Very unsatisfied,Mid-Level,2019-05-05T21:55:37.067160-04:00,inhersight,amazon
"The percentage of female to male workers as Warehouse Accociates and Ambassadors are about 50/50 (Yay!). However, the amount of female representation on supervisory positions is lacking. I wish there were more company events so we could develop more support for eachother as women. Also I fear becoming pregnant while in a lower possition as they might not put me in an office position for the safety of my baby simply based on my status. Mind you I DO have excellent office and leadership experience but my work history/qualifications has never even been asked for even at my initial hire, so they have no idea how much potential this lowly warehouse associate actually has. Don't get me wrong I love this company, but because it is so big you can get lost like you are just a number to them. I feel like Amazon is really the one missing out because of this.",Unsatisfied,Early Career,2019-05-05T12:41:11.090970-04:00,inhersight,amazon
"Although on the surface it appears Amazon has equal opportunities for women in Leadership roles, because there is a good balance of men and women in these positions, behind the scenes tells a different story. 
Very often, women's ideas are pushed aside, dismissed, and even quelled - regardless of how well thought out and logical these proposals are. A confident, intelligent woman is far less likely to impact changes than an aggressive, ignorant man. I wouldn't feel this way if I had not experienced this time and time again over the years of being employeed there, throughout the revolving door of so many Leadership changes.",Neither satisfied nor unsatisfied,Mid-Level,2019-05-03T10:17:49.307304-04:00,inhersight,amazon
"Working at Amazon Fullfillment Center is not only physically hard, it is also mentally hard. Management use cult-like physiology to force employees to comply with daily changes within the Fullfillment Center. You can get wtitten up for taking longer than 2.5 minutes to walk back from break or another department. If you are at 98.9% of expect rate you can also be written up. There are no women in upper management positions at our Fullfillment Center. There are women in Human Resources or office positions that do not know the Fullfillment Center side of the Warehouse.",Unsatisfied,Early Career,2019-05-02T11:51:30.702466-04:00,inhersight,amazon
You’re treated like a robot. Work standards change like the weather making termination rate higher every 3 months. Amazon as a whole hires on managers as “fresh”. They have little to no background to make the perfect manager for amazon but not for the employees. Company lacks compassion with policies and regulations that are set forth. On the plus side they have great benefits that keep you there through all the torture but everyone has their limits.,Unsatisfied,,2019-05-01T13:53:03.446195-04:00,inhersight,amazon
"Amazon needs some serious adjustments when it comes to pay , schedule flexibility , paid time off , and vacation time.. As a mom and a drilling reservist it’s really difficult to have a bad day or juggle my responsibilities while also being at work and being 100% ready to perform at optimum level ... I know I personally would be more willing to stay and continue working for the company if they revamp the pay, health insurance/dental
Insurance and PTO/Vacation time .",Unsatisfied,Early Career,2019-04-30T08:02:25.846598-04:00,inhersight,amazon
They treat there people like robots.,Very unsatisfied,Early Career,2019-04-27T14:57:51.127909-04:00,inhersight,amazon
I enjoyed working there,Neither satisfied nor unsatisfied,Early Career,2019-04-27T06:08:53.015305-04:00,inhersight,amazon
"Best place Ive ever worked. I do work remotely, meaning from home exclusively, but I am very supported and prepared by Amazon for every situation. EVERY direct manager Ive had (because realign often) has been female. I have not had a bad experience with any manager yet and its been two years. I swear its like they put them through rigorous sensitivity and positivity training. Every single one has been excellent at delivering not so great news in the best way possible. As long as you do your job and what is expected of you, you will succeed here. Great job for people who require little direction, work well alone, have self discipline, and can hold themselves accountable.",Very satisfied,Early Career,2019-04-18T22:10:01.920453-04:00,inhersight,amazon
"I don’t have a personal relationship or even a professional one with anyone I work with. I couldn’t fathom telling them something personal like “sorry I was off task for 20 minutes, I bled through my super tampon”",Unsatisfied,Mid-Level,2019-04-18T01:55:45.507549-04:00,inhersight,amazon
"Absolutely adore my job, coworkers and managers! Benefits can't be beat! Opportunity for growth, and management is always willing to go above and beyond to help you achieve goals! Supportive and positive environment! Intend to stay with the company long term!",Very satisfied,Early Career,2019-04-15T05:51:15.259514-04:00,inhersight,amazon
"I was very impressed with the sexual harassment policy orientation given, it was one of the most comprehensive and educational orientations I've been given. There is a zero tolerance attitude and I feel comfortable and confident it is strictly enforced. Unlike other company's warehouses, I truly feel comfortable working here. I've been with this company for more than a year and have not had to deal with any form of harrassment from any of my colleagues nor managers. It's a real relief being able to focus on my work.",Very satisfied,Early Career,2019-04-14T16:48:07.101961-04:00,inhersight,amazon
"Wonderful work environment. Very helpful staff, and friendly.",Very satisfied,Early Career,2019-04-13T00:42:18.102304-04:00,inhersight,amazon
"I love working for Amazon, there are so many amazing perks and benefits! All you have to do to keep your job is do your work!",Satisfied,Early Career,2019-04-11T03:00:06.049359-04:00,inhersight,amazon
"Amazon has a significant gap in women in senior (director or VP) levels, and I'm not convinced they are investing in bringing up women within the company in level before director (e.g., investing in the pipeline of talent). Maternity/Paternity policy could be much stronger (offer men and women the same amount of time as well as increase it).",Satisfied,Mid-Level,2019-04-08T16:25:02.417562-04:00,inhersight,amazon
"20 total weeks of paid leave (14 for maternity, 6 for parental which is available for men too) ramp back program",Very satisfied,Early Career,2019-04-06T17:17:20.936249-04:00,inhersight,amazon
"Great company to work for, if you have initiative and gumption.",Very satisfied,Mid-Level,2019-03-31T07:47:52.722990-04:00,inhersight,amazon
"I'm below a manager and don't make a living wage. Stocks and VCP were taken from us. Since then, I've been wondering if I need a job change. I'm tired of struggling.",Neither satisfied nor unsatisfied,Mid-Level,2019-03-31T01:53:39.890583-04:00,inhersight,amazon
"Manager Steve Lowley is extremely rude and ignorant to important issues. The people who work directly for Amazon are petty assholes whom do not perform their jobs professionally. There is barely any paid time time; the schedule is not set, so you never know when you’ll be off until you are off. They honestly care about the dumbest things in there. They rather ruin things that work then try to work on the things that don’t. It’s extremely underpaid, and they do not use the proper regulations for safety for delivery drivers (such as dot cards). It’s really a waste of time.",Very unsatisfied,Early Career,2019-03-30T21:51:24.384962-04:00,inhersight,amazon
"I can’t speak for all, but this facility is especially difficult for females. You are expected to brush off all sexual harassment because “you’re a woman in a warehouse, what did you expect?” Harassment is taken as a he-said, she-said and even with multiple witnesses and complaints, no action is taken. There is a large percentage of our work force that does not respect female leadership which makes it exceptionally difficult to advance. You are not allowed to enforce standards with your team members which has created a culture where anybody can say or do whatever they want with no repercussions. The benefits and pay are very competitive for similar jobs in the area, but the culture has shifted me away from wanting to grow my career at Amazon.",Unsatisfied,Early Career,2019-03-28T20:53:08.002227-04:00,inhersight,amazon
Amazon is really just a toxic work environment.,Very unsatisfied,Early Career,2019-03-08T00:48:21.807023-05:00,inhersight,amazon
"Tired of dangled carrots by Area Managers and Operations Managers that apparently... when all hard work is performed and done have no say whether or not you get the advancement they told you.
Was promised numerous opportunities for interviews and advancement. A lot of horror stories.
Women mostly seen in HR roles or Processing Assistant but rarely manager or higher.
They are cutting expenses in very wrong areas and it is getting worse.",Very unsatisfied,Mid-Level,2019-02-12T18:24:37.341551-05:00,inhersight,amazon
Good place to get your foot in the door,Neither satisfied nor unsatisfied,Mid-Level,2019-02-06T21:20:51.389061-05:00,inhersight,amazon
Great place with great benefits,Very satisfied,Mid-Level,2019-02-05T12:29:31.132842-05:00,inhersight,amazon
Not a great company to work for. When they are done with you they will find a reason to let you go.,Unsatisfied,Early Career,2019-02-04T16:19:50.815548-05:00,inhersight,amazon
You are treated as a # not as a person. They want robots not people.  I was very disappointed in their treatment of the employees.,Very unsatisfied,Early Career,2019-02-03T22:22:35.979416-05:00,inhersight,amazon
"Overall Amazon is great place to work, but it’s not for everyone. It can be tough adjusting to their culture and a lot depends on the team you end up on. There are endless options for growth and learning, but you have to seek them yourself and be very self motivated.",Satisfied,Mid-Level,2019-02-03T21:52:51.449835-05:00,inhersight,amazon
"Part-time only building, barely enough to make a liveable wage (although they pay $15 an hour). Have been working there for almost two years- lots of empty promises about moving up or getting promoted. Have to do everything through HR-which is not in Richmond and take quite a long time to respond. Great coworkers and management though.",Neither satisfied nor unsatisfied,Early Career,2019-01-31T10:25:00.221209-05:00,inhersight,amazon
I hate it pay little for so much work,Very unsatisfied,Mid-Level,2019-01-27T00:46:44.002174-05:00,inhersight,amazon
"The compensation is good for part-time. But getting full-time or management is almost impossible, especially is you do not have a college degree.",Unsatisfied,Mid-Level,2019-01-22T10:59:21.385961-05:00,inhersight,amazon
Lots of sexual harassment with no accountability. HR is often hard to get a hold of when reporting issues. Unfortunately you don’t see too many women escalate in the company.,Unsatisfied,Early Career,2019-01-20T23:04:02.419981-05:00,inhersight,amazon
"Equal pay and opportunity. Minimum company wage is $15 an hour to start with benefits and vacation days. Some room for advancement. BUT be prepared for long hours. Full time shifts are 10.5 hours long, 4 days a week. Great for parents or students who need more days off, but schedule is set. Different shift/day options but they are usually 4 days in a row. For example, I work Sunday through Wednesday. Other shifts are Wednesday through Saturday, Monday through Thursday, and Friday through Monday. AM and PM shifts available. Part time is also available but I'm not sure what those shift options would be. You'll be on your feet all day, I did get use to it after a couple weeks. Medical benefits are great and they work with a ton of other companies that you can get discounts through, including disney tickets but they have so much more. I can't say it is the most satisfying job I have ever done as I'm not doing something I enjoy or saw myself doing, but the pay is good and my coworkers are super nice. My manager is always available when we need him and willing to help in any way possible. I would say there is an equal amount of female management to make management, my manager just happens to be a male. There's mandatory over time around the holidays because it gets super busy, but you'll know ahead of time what your over time day is depending on your shift. Mine was always on Thursday. Opportunity for extra time occasionally. Opportunity for voluntary time off where you can accept time off for the day if they know it isn't going to be busy, and it will not use your vacation time, you just have the day off without pay and it doesn't count against you. Which is great especially if you have a side job. Cafeteria plays movies and has game tables. Food vendors come during lunch hours, or they have their own little ""grocery store"" with food you can buy for lunch. Refrigerators to store lunch, plenty of microwaves and utensils. After working there a year, they have a school program where they will pay 95% of tuition for certain programs. One I'm interested in is to do ultrasound, but they have others. They really do give you incentive to stay. It isn't the easiest job sometimes, but the benefits and my coworkers definitely give me reasons to stay.",Satisfied,Early Career,2019-01-18T09:05:13.707553-05:00,inhersight,amazon
"Result driven company, self guided work, autonomy, if upper management says nothing you are doing a good job",Unsatisfied,Early Career,2019-01-16T00:50:24.970755-05:00,inhersight,amazon
"Great workplace, great benefits and salary",Very satisfied,Early Career,2019-01-13T17:34:03.039939-05:00,inhersight,amazon
needs more positivity.,Satisfied,Mid-Level,2019-01-07T14:39:18.628255-05:00,inhersight,amazon
Worst place I ever worked out. They don’t care about the workers. There’s a lot of favoritism in there.,Very unsatisfied,Early Career,2019-01-04T21:30:57.840097-05:00,inhersight,amazon
Their employees are just gears in a machine. They work you till your useless and then replace you with a shiny new part.,Unsatisfied,Early Career,2019-01-03T23:52:04.738149-05:00,inhersight,amazon
"When I worked at Amazon CLT-3 it was well at first, but the same day I started working, I injured my knee badly. I used up all of my personal time and got fired even after explaining why I couldn't work. They never once mentioned to me how much personal hours we had nor did they explain to me that after you reach the negatives you'd get fired. The same day I got fired they said I had to leave premises immediately and never told my husband that I've been fired. The people I worked with in inbound we're extremely nice and understanding, everyone was extremely nice, but HR didn't always help. I honestly wouldn't work for them anymore after that. A worker there had to take me home once I was fired which was very kind of him but as I said before I'd never go back to work there anymore.",Neither satisfied nor unsatisfied,Early Career,2019-01-02T17:37:32.676998-05:00,inhersight,amazon
It was wonderful,Very satisfied,Early Career,2019-01-01T14:49:33.284905-05:00,inhersight,amazon
"Did not take my sexual harrasment complaint seriously, created a hostile work environment",Neither satisfied nor unsatisfied,Early Career,2018-12-31T20:56:47.349258-05:00,inhersight,amazon
There was an overall lack of organization that made simple tasks complicated.,Unsatisfied,Early Career,2018-12-30T23:00:51.945236-05:00,inhersight,amazon
"I have been working for 3 years for Amazon and I can say I have had some great experiences but based on the type of Manager you have really depends on the amount of respect you shall recieve. When you work for a big company such as this you can sometimes fall through the cracks if a manager doesn't notice you, so it can be hard for someone such as myself to get into manager position. Now since I have started to shift my attention elsewhere (school) they offer things that I can't do or learn at this time because of school schedule. These things should of been offered way before considering I have asked to learn them. I just would like to have a company that would truly take the time to work with me and grow me. I want to work for a company that in which shall teach because they want to not because someone didn't come in so they have to compensate for just that day.",Neither satisfied nor unsatisfied,Early Career,2018-12-27T20:25:57.447222-05:00,inhersight,amazon
I loved this job,Satisfied,Early Career,2018-12-21T00:36:25.954056-05:00,inhersight,amazon
"They fully expect you to be on your feet constantly moving for 10 hours straight. During their “peak” season you are required to work 6 - 10 hour days in a row. You are making anywhere between 6000 & 10000 scans every day. Your arms are sore, every muscle aches. You are expected to “make rate” with no errors",Unsatisfied,Early Career,2018-12-17T13:03:57.589729-05:00,inhersight,amazon
You make a fair wage for the work you do,Satisfied,Early Career,2018-12-12T23:15:05.765940-05:00,inhersight,amazon
"The frugal culture is such that no one has a sense of job security. Due to the sense of survival struggle, bad characteristic rise in a lot of people, and the wrong sort of competitiveness can occur. It's also not good to always have a nagging sense of insecurity even when your doing an excellent job. It's bad for health, and bad on the nervous system.",Very unsatisfied,Senior-Level,2018-12-12T11:14:05.736940-05:00,inhersight,amazon
"Hard to move up. After being employed 3-5 years expect same treatment as a new hire. Expect to train your managers or do their job without pay. Company does benefits, however is usually on weekend days only. ""Peak season"" is hard on everybody.",Neither satisfied nor unsatisfied,Early Career,2018-12-07T16:51:52.529628-05:00,inhersight,amazon
"Hard work and your pay does not make up for it especially after tax comes out, you get sent home if there's no work, anything can get you fired",Very unsatisfied,,2018-11-28T20:42:07.497488-05:00,inhersight,amazon
"Great if you are satisfied in a job where you do the same thing for years. Unfortunately, favoritism is an issue and you will not incline unless you really know people.",Neither satisfied nor unsatisfied,Mid-Level,2018-11-20T21:24:03.093196-05:00,inhersight,amazon
"Not for everyone, but if you're a low-stress personality that likes to do manual labor, go for it.",Unsatisfied,Early Career,2018-11-13T22:38:52.422083-05:00,inhersight,amazon
Alot of walking or standing in one spot alot of favoritism must know people to move up in this company,Neither satisfied nor unsatisfied,Mid-Level,2018-11-10T05:48:00.930304-05:00,inhersight,amazon
Working for Amazon was both interesting and there was a great culture however it was hard to advance in my position.,Satisfied,Early Career,2018-10-31T09:52:33.130264-04:00,inhersight,amazon
"If you are single with no children, you can move up. However, if you do have a family, it’s very doffing to handle work and home life.",Unsatisfied,Mid-Level,2018-10-30T14:26:31.421163-04:00,inhersight,amazon
No place to sit extremely long hours extreme quotas to fit,Very unsatisfied,Early Career,2018-10-24T10:11:45.919831-04:00,inhersight,amazon
Horrible place to work.  I highly recommend not working here.,Very unsatisfied,Early Career,2018-10-22T10:33:16.500335-04:00,inhersight,amazon
Amazon is the worst. Bezos is a lower level demon from hell.,Very unsatisfied,Early Career,2018-10-18T23:02:22.476250-04:00,inhersight,amazon
No human resources. Said I was going full time for months and never transferred me,Unsatisfied,Early Career,2018-10-09T06:33:26.228371-04:00,inhersight,amazon
none,Neither satisfied nor unsatisfied,Early Career,2018-09-30T21:23:33.544930-04:00,inhersight,amazon
Fast paced work environment. Super political and was clear I had to be around a long time before I’d see growth. Work wasn’t always recognized and it was hard to communicate with the team as a whole.,Neither satisfied nor unsatisfied,Early Career,2018-09-24T00:52:07.526122-04:00,inhersight,amazon
"Amazon was a pleasant place to work. Though not around peak. The wearhouse becomes full, causing you to not be able to hit rate. I feel as though yes rate should be a big deal but that it shouldn't be as big of a issue as they made it. The job was getting done and it should have not been handled the way it was. That being said the rest of the time was pleasant. I enjoyed those that I worked with. I enjoyed the job itself. Was a fun and upbeat inviorment. Just the management at the time wasn't very friendly. The ones that weren't friendly are now gone, so that may be just the change it needed. Everyone has their own experience so it would be silly to base it off of my situation.",Neither satisfied nor unsatisfied,Early Career,2018-09-12T12:14:56.751630-04:00,inhersight,amazon
"It doesn’t seem possible to work into a tier 3 or management position within the warehouse. The highest you can become is a Processing Assistant, and that barely has a pay increase, but much more responsibility & stress. It’s consistent, trying-to-beat-the-clock exhausting labor, and just because you’re an outstanding employee doesn’t mean you’re highly valued or that your job is safe. Pay increases are minimal, and the job variety is lacking. It’s a dead end job unless you want to go back to school to become manager.",Very unsatisfied,Early Career,2018-09-10T13:56:51.466981-04:00,inhersight,amazon
It is a high stress job with he befeit of stock ownership,Satisfied,Mid-Level,2018-09-01T19:33:07.940313-04:00,inhersight,amazon
It's a step up from fast food in pay and the hours are flexible... only nice things I have to say.,Unsatisfied,Early Career,2018-09-01T07:35:05.568165-04:00,inhersight,amazon
"I had a really good experience working at Amazon. I was in the Lab126 office. My manager was a badass woman, the sr. program manager was also a badass woman, so the team was so balanced in terms of gender, that it never felt like we were justifying or fighting for our voices to be heard. It was almost like it was accepted that the women on the team were just...super smart and even more competent than everyone else!",Very satisfied,Early Career,2018-08-31T01:10:47.172496-04:00,inhersight,amazon
"Amazon has provided tremendous opportunities for me to grow my career. I’ve been fortunate to work under many successful female managers, and the team environment is one that values work/life balance.",Very satisfied,Mid-Level,2018-08-30T14:48:06.249042-04:00,inhersight,amazon
Amazing opportunity to excel if it’s the right fit for you,Neither satisfied nor unsatisfied,Early Career,2018-08-27T00:12:58.577816-04:00,inhersight,amazon
"While the company itself isn’t overall bad, being in certain departments can just about end your progression and ability to move up in the company due to different policies in the department. There’s also the lack of livable wage, and the lack of pay raises (a “possible” $0.25 raise maybe every six months or so is very concerning).",Neither satisfied nor unsatisfied,Early Career,2018-08-26T23:37:47.562826-04:00,inhersight,amazon
Impersonal and minimal interactions with management. Pay doesn't match the physical exertion of the job. There are several extra benefits and discounts that are nice.,Neither satisfied nor unsatisfied,Early Career,2018-08-24T16:11:28.569881-04:00,inhersight,amazon
I’ve never worked for an employer that cares about their employees as much as Amazon does. So much flexibility in our schedules and the managers are top notch.,Very satisfied,Early Career,2018-08-22T06:49:10.380556-04:00,inhersight,amazon
Amazon is a good place to work.,Satisfied,Mid-Level,2018-08-18T14:21:52.493646-04:00,inhersight,amazon
Hard to find a work/life balance!,Neither satisfied nor unsatisfied,Early Career,2018-08-17T00:04:14.402833-04:00,inhersight,amazon
"Besides benefits, each aspect differs team to team",Satisfied,Early Career,2018-08-10T10:28:29.437564-04:00,inhersight,amazon
"Incredibly snooty employees, fragile and easily upset by small things. Can’t handle real life, and tend to just be a bag of dicks.",Neither satisfied nor unsatisfied,Senior-Level,2018-08-04T04:56:26.830159-04:00,inhersight,amazon
"It's a good place to work at- if you get the right department! My husband got placed in packing and he loves it. I on the other hand have been placed in customer returns other wise know as c-rets and can't stand being in the same spot for hours with little to no communication or ability to walk around from one place to another. Standing on my feet doesn't bother me it's the standing in one place for 10 hours, that's what kills me.",Very unsatisfied,Early Career,2018-07-26T05:20:37.842591-04:00,inhersight,amazon
"Two coworkers who were 7+ months pregnant were given the same physically arduous task as every other picker requiring 10 hours a day walking 12-16 miles a day mostly nonstop attempting to meet a very strict and challenging quota or else risk job termination. During an employee morale-boosting meeting, a female employee was praised yet given no actual reward for skipping time off “with her family” to come into work when needed. What backwards and inhumane values this company has.",Very unsatisfied,Early Career,2018-07-25T15:13:40.503938-04:00,inhersight,amazon
Love the company and ability to be recognized for your hard work.  It is hard work.  Many of those complaining want a ton of money for little work!,Very satisfied,Mid-Level,2018-07-13T18:41:24.912482-04:00,inhersight,amazon
"It's a lot of blatant favoritism and as a female, you kind of have to flirt with a male-dominant management not have your job screwed over.",Neither satisfied nor unsatisfied,Early Career,2018-07-12T17:19:32.134095-04:00,inhersight,amazon
Not for everyone.,Unsatisfied,Early Career,2018-07-03T00:22:20.210494-04:00,inhersight,amazon
Amazon is an ok business but needs to change some productivity policies.,Very unsatisfied,Early Career,2018-07-01T16:25:52.238711-04:00,inhersight,amazon
Upper management cares. Lower management... not so much.,Unsatisfied,Early Career,2018-06-24T21:53:00.437766-04:00,inhersight,amazon
"Overall Amazon is a good company to work for very flexible and great benefits. However there is challenges and obstacles that regular employees face that make their job seem indispensable and the fear of losing your job is always a guaranteed. They wear your body out so much that you have no other choice than to move up and losing some of your dignity, quit or get fired. If you want to move up something has to give and your knifes have to be sharp enough to back stab your peers or naturally be a terrible human being. This job will give anxiety or give you depression. It won't matter if you become a manager and above thou they compensate you enough to pay for your depression medication and numb that emptiness you have inside for working in such a selfish environment.",Very unsatisfied,Early Career,2018-06-24T21:17:55.995757-04:00,inhersight,amazon
"It's a hard environment to adapt to. Women work there, but most quit within the first few days. Men are mainly in charge and work things to their benefit. As much as safety is important, it isn't. If someone gets hurt too often, they're fired. Most worry about keeping their jobs because there's a set standard. People are given a certain amount of hours for sick time and if gone under, you could be fired. I wouldn't reccomend this job for someone just graduating high school. Or a woman trying to rise in any way.",Unsatisfied,Early Career,2018-06-13T00:25:37.110462-04:00,inhersight,amazon
The ratio of men to women working in the warehouse is 10:3,Neither satisfied nor unsatisfied,Early Career,2018-06-11T15:31:45.224293-04:00,inhersight,amazon
Operations in Amazon has very little female representation. Overall Amazon has very little female senior leadership.,Very unsatisfied,Mid-Level,2018-06-09T10:22:45.805967-04:00,inhersight,amazon
In my experience Amazon fulfillment centers take care of all their employees (no discrimination for all)! It is a wonderful company to work for. There are many incentives.,Very satisfied,Early Career,2018-06-05T09:21:20.910859-04:00,inhersight,amazon
I have Aspergers. My managers think I am stupid. Not sure why.,Unsatisfied,Early Career,2018-05-28T21:39:29.459455-04:00,inhersight,amazon
"I’ve worked off and on for Amazon since 2014. While I haven’t always loved it, I can’t deny that it offers great benefits, competitive pay rates, and plenty of opportunities for advancement for both male and female employees. I can honestly say, from personal experience, that their maternity and parental leave is phenomenal! I’m looking forward to returning to work, but not as much as I’m looking forward to coming home to my sweet baby every night.",Very satisfied,Early Career,2018-05-26T00:58:50.216841-04:00,inhersight,amazon
"It's great to learn new leadership skills, but moving up the ladder proves difficult even when qualified.",Neither satisfied nor unsatisfied,Early Career,2018-05-24T05:41:04.576325-04:00,inhersight,amazon
A healthy dynamic environemnet where you can keep learning and learning with multiple challenges aroubd,Very satisfied,Mid-Level,2018-05-21T17:02:31.388194-04:00,inhersight,amazon
"Fun place to work, good money, good exercise. Hours too long.",Satisfied,Mid-Level,2018-05-15T02:56:04.913248-04:00,inhersight,amazon
"I love working for Amazon! I hope to work here until I retire, many years from now! They have amazing health benefits, which cover pretty much everything you can think off including infertility treatments and transgender reassignment surgeries. I received 20 weeks paid maternity leave when I had my son. I had the option of not having to returning to work full-time right away when it was time to come back. They really try to live by their ethics and they are always improving.",Very satisfied,Early Career,2018-05-14T12:37:20.719019-04:00,inhersight,amazon
It's a good job if you can make production,Unsatisfied,Early Career,2018-04-21T18:47:25.084014-04:00,inhersight,amazon
"Women were told to shutup in executive meetings. Extensive mansplaining. No females in leadership from my line to the top. Male sr level execs very uneducated on gender issues,
made very public excuses about the pipeline problem and suggested that women stick to HR and Customer Support. I was gaslighted by my boss for over a year, with several known complaints to HR (from many employees). Raising the issues to HR were manipulated back onto me, and i ultimately resigned.  The offending male execs are all still in their roles, while droves of direct reports have given up and left.
 (Bay area location)",Unsatisfied,Mid-Level,2018-03-25T22:31:03.523954-04:00,inhersight,amazon
"More male managers than female, but not due to any gender bias. Fewer women work in warehouses is all. Everyone has equal opportunity with Amazon at their facilities and warehouses. It's all about your ability to interview well. No one cares about gender or race.",Very satisfied,Mid-Level,2018-03-19T04:38:01.164015-04:00,inhersight,amazon
"You will work here or you'll be let go. It's not for people who don't like fast pace environments. But they do have decent perks. Like their career program and the stock they give you. Peak can get to you if you don't get enough rest, drink lots of water, and eat.",Satisfied,Early Career,2018-03-07T01:21:21.133609-05:00,inhersight,amazon
Female harassment is not taken seriously enough by the hr department. It’s very sad.,Unsatisfied,Early Career,2018-03-05T19:39:55.159279-05:00,inhersight,amazon
"I enjoyed working here and the managers were,very nice and helpful.",Neither satisfied nor unsatisfied,Early Career,2018-01-29T19:24:18.387133-05:00,inhersight,amazon
"In terms of overall job satisfaction, I don't hate it, but it's definitely not my favorite job ever.  I haven't really had any sort of opportunity to get to know anybody, so I wouldn't call it a great team environment, which I personally like.  As far as women in roles of leadership, there are few.  Women mostly serve in the roles of Ambassadors, which are by-and-large trainers and folks who are there to help and answer questions.  Among these women, I have seen some very unprofessional behavior.  For instance, I overheard and saw a conversation the other night wherein a female Ambassador was passing her phone around and asking if she was more attractive than another woman. Unprofessional and disappointing, I thought.  Overall, I feel that this specific job lacks warmth and new opportunities.  I liked the job when I was new and learning.  Since I've learned all I need to know, it has become very stale and definitely feels like a dead-end.  If you're a people person and enjoy learning and implementing new skills, probably skip this one.",Unsatisfied,Early Career,2018-01-23T12:31:55.093052-05:00,inhersight,amazon
